streetName	City	State		Day	Weather	vehicleCollision			
PRINCE RD W                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S MIDVALE PARK RD             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
12TH AV                       	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S 12TH AV                     	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
12TH AV S                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
12TH AV S                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
VETERANS BL W                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
VETERANS BL W                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
12TH AV S                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S 12TH AV                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
12TH AV S                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S 12TH AV                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S 12TH AV                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S 12TH AV                     	Tucson	Arizona		DARK-LIGHTED                                           	CLOUDY                                                 	Vehicle / Vehicle			
S 12 AVE                      	Tucson	Arizona		DARK-LIGHTED                                           	CLOUDY                                                 	Vehicle / Vehicle			
S 12 AV                       	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S 12TH AVE                    	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
